title,body,rating,author,review_date
"Great phone","Battery life is amazing, camera quality is stunning",5,"Rahul K","2024-01-15"
"Heating issue","Phone heats up way too fast during gaming, battery drains quickly",2,"Priya M","2024-01-20"
"Best camera","The camera is absolutely brilliant, screen display is sharp",5,"Amit S","2024-02-01"
"Disappointing","Performance lags after update, software has bugs",2,"Sneha R","2024-02-10"
"Good value","Nice build quality, good price for what you get",4,"Vikram P","2024-02-15"
"Battery problem","Battery drains overnight even when not in use",1,"Anita L","2024-03-01"
"Excellent display","Screen brightness is perfect, vivid colors",5,"Rohit D","2024-03-05"
"Overheating","Device overheats while charging, very concerning",2,"Meera T","2024-03-10"
"Smooth performance","No lag at all, very fast and responsive",5,"Karan B","2024-03-15"
"Camera blur","Camera produces blurry photos in low light",2,"Deepa N","2024-03-20"
